qpid	ontology	goid	desc	RM3_score	RM3_PPV	RM3_rank	ARGOT_score	ARGOT_PPV	ARGOT_rank	JAC_score	JAC_PPV	JAC_rank	HYGE_score	HYGE_PPV	HYGE_rank	SANS_score	SANS_PPV	SANS_rank
tr|F7GNE4|F7GNE4_MACMU	BP	0034333	adherens junction assembly	0.420273948559	0.802310426748	37	14.4390956808	0.847472537112	1	0.0509421320004	0.842930858037	37	351.755164814	0.911369857037	1	1.0	1.0	1
tr|F7GNE4|F7GNE4_MACMU	MF	0004871	signal transducer activity	0.254984480946	0.534161323439	51	5.32189643563	0.639665304813	3	8.5582882908e-05	0.59311100279	42	21.1593380299	0.719416633511	43	1.0	1.0	1
tr|F7GNE4|F7GNE4_MACMU	CC	0044464	cell part	0.0	0.1205	129	0.0	0.3047	129	9.49545984944e-07	0.408289406123	113	-0.0	0.2557	113	0.4	0.4	1
tr|F7GNE4|F7GNE4_MACMU	BP	0034332	adherens junction organization	0.413757406831	0.791738641102	47	13.9887789554	0.844730635923	2	0.0372853859496	0.83720402728	49	320.273141412	0.904966906024	2	1.0	1.0	2
tr|F7GNE4|F7GNE4_MACMU	MF	0003713	transcription coactivator activity	0.326676462385	0.650467224927	25	4.1275827284	0.599694901255	23	0.000651360452945	0.676445470666	23	103.573379083	0.827874744292	23	0.37	0.37	2
tr|F7GNE4|F7GNE4_MACMU	CC	0005623	cell	0.0	0.1205	128	0.0	0.3047	128	9.29749686961e-07	0.407424330899	114	-0.0	0.2557	114	0.4	0.4	2
tr|F7GNE4|F7GNE4_MACMU	BP	0034329	cell junction assembly	0.394920929318	0.761180223632	99	12.7068520482	0.822289673397	3	0.0153326288127	0.806140676785	108	232.566031394	0.883114105483	8	1.0	1.0	3
tr|F7GNE4|F7GNE4_MACMU	MF	0044212	transcription regulatory region DNA binding	0.304037361192	0.613739811062	36	3.6116228568	0.580642003245	27	0.000248715435671	0.636914801042	32	69.2943378572	0.800427822795	31	0.37	0.37	3
tr|F7GNE4|F7GNE4_MACMU	CC	0044424	intracellular part	0.00490907501295	0.128463992394	125	0.390786566584	0.395468765634	108	1.36870187949e-06	0.42330234131	110	-0.0	0.2557	110	0.39	0.39	3
tr|F7GNE4|F7GNE4_MACMU	BP	0045216	cell-cell junction organization	0.391774047023	0.756075036485	115	12.4960304421	0.817978004255	4	0.0132484638469	0.800141747136	122	218.455709308	0.878839772915	13	1.0	1.0	4
