nid	isquery	qpid	spid	qcov	scov	bits	pide	lali	desc	species	qseq	genename
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|I3MQZ1|I3MQZ1_ICTTR	1	1	1617	1	781	Uncharacterized protein	Ictidomys tridecemlineatus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G1R1B9|G1R1B9_NOMLE	1	1	1617	1	781	Uncharacterized protein	Nomascus leucogenys	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A096MY68|A0A096MY68_PAPAN	1	1	1617	1	781	Uncharacterized protein	Papio anubis	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0D9RWF4|A0A0D9RWF4_CHLSB	1	1	1617	1	781	Uncharacterized protein	Chlorocebus sabaeus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|H0XET0|H0XET0_OTOGA	1	1	1617	1	781	Uncharacterized protein	Otolemur garnettii	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G3QHI5|G3QHI5_GORGO	1	1	1617	1	781	Uncharacterized protein	Gorilla gorilla gorilla	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q5R5L8|Q5R5L8_PONAB	1	1	1617	1	781	Putative uncharacterized protein DKFZp469E1714	Pongo abelii	n.d.	DKFZp469E1714
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|H2R2U1|H2R2U1_PANTR	1	1	1617	1	781	Catenin (Cadherin-associated protein), beta 1, 88kDa	Pan troglodytes	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|F6SAX7|F6SAX7_CALJA	1	1	1617	1	781	Catenin beta-1	Callithrix jacchus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|F7GNE4|F7GNE4_MACMU	1	1	1617	1	781	Catenin beta-1	Macaca mulatta	n.d.	CTNNB1
